id,State_Code,State_Name,State_ab,County,City,Place,Type,Primary,Zip_Code,Area_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,Households
1501192,15,Hawaii,HI,Honolulu County,Hauula,Hauula,CDP,place,96717,808,2969768,2026088,21.606995,-157.904532,153523,145398,161035,930
1501194,15,Hawaii,HI,Hawaii County,Pahoa,Hawaiian Beaches,CDP,place,96778,808,63554540,969219,19.538088,-154.942197,71300,66666,77392,1472
1501196,15,Hawaii,HI,Hawaii County,Keaau,Hawaiian Paradise Park,CDP,place,96749,808,39400689,962961,19.587281,-154.973069,93805,82913,103661,4148
1501198,15,Hawaii,HI,Honolulu County,Kaneohe,Heeia,CDP,place,96744,808,8000875,653000,21.42428,-157.822445,175922,177092,177622,1528
1501200,15,Hawaii,HI,Hawaii County,Hilo,Hilo,CDP,place,96720,808,138277843,12678289,19.692437,-155.084503,117635,101359,126625,15586
1501202,15,Hawaii,HI,Hawaii County,Holualoa,Honalo,CDP,place,96725,808,76618700,0,19.57874,-155.901978,127449,107117,139071,787
1501204,15,Hawaii,HI,Hawaii County,Honokaa,Honokaa,CDP,place,96727,808,3277988,0,20.074635,-155.465712,135772,98546,151851,702
1501206,15,Hawaii,HI,Honolulu County,Ewa Beach,Iroquois Point,CDP,place,96706,808,1457042,249513,21.322058,-157.978382,113898,107016,112578,1220
1501208,15,Hawaii,HI,Maui County,Lahaina,Kaanapali,CDP,place,96761,808,12826911,3450173,20.930468,-156.686446,204320,241265,208695,534
1501210,15,Hawaii,HI,Hawaii County,Kailua-kona,Kahaluu-Keauhou,CDP,place,96740,808,14494675,5891192,19.573081,-155.957277,145072,117600,155328,1395
